text,mood
I am so happy today,happy
This is the best day ever,happy
I feel amazing and joyful,happy
Life is wonderful right now,happy
I'm feeling great and excited,happy
I'm overjoyed with this news,happy
Everything is going perfectly,happy
I feel blessed and grateful,happy
This makes me smile so much,happy
I'm radiating with happiness,happy
I feel fantastic and energetic,happy
Today brings me pure joy,happy
I'm in such a good mood,happy
This is absolutely wonderful,happy
I feel like dancing with joy,happy
My heart is filled with happiness,happy
I'm beaming with delight,happy
This brings me so much pleasure,happy
I feel cheerful and optimistic,happy
Life couldn't be better right now,happy
I am extremely happy today,happy
This is incredibly wonderful,happy
I feel totally amazing,happy
Life is absolutely great,happy
I'm completely joyful,happy
Everything is utterly perfect,happy
I feel really blessed,happy
This makes me very smile,happy
I'm quite cheerful,happy
Today is extremely fantastic,happy
I feel so elated,happy
This brings me incredible joy,happy
I'm absolutely delighted,happy
Life couldn't be totally better,happy
I feel completely euphoric,happy
This is really exciting,happy
I'm very thrilled,happy
Everything feels absolutely right,happy
I feel incredibly optimistic,happy
This makes me extremely laugh,happy
I'm totally content,happy
Today brings so happiness,happy
I feel really alive,happy
This is incredibly beautiful,happy
I'm absolutely grateful,happy
Life is extremely wonderful,happy
I feel very energetic,happy
I am so sad today,sad
This is the worst day of my life,sad
I feel terrible and heartbroken,sad
Everything is going wrong,sad
I'm feeling down and hopeless,sad
I can't stop crying,sad
My heart feels heavy,sad
I feel empty inside,sad
Nothing seems to matter anymore,sad
I'm overwhelmed with sorrow,sad
This pain is unbearable,sad
I feel lost and broken,sad
Tears won't stop flowing,sad
I'm drowning in sadness,sad
Everything feels meaningless,sad
I feel so disappointed,sad
My world has fallen apart,sad
I'm consumed by grief,sad
This sadness is crushing me,sad
I feel utterly defeated,sad
I am extremely sad today,sad
This is incredibly terrible,sad
I feel totally heartbroken,sad
Everything is absolutely wrong,sad
I'm completely depressed,sad
Life feels utterly empty,sad
I feel really hopeless,sad
This makes me very cry,sad
I'm quite devastated,sad
Today is extremely awful,sad
I feel so miserable,sad
This brings me incredible sorrow,sad
I'm absolutely disappointed,sad
Nothing seems totally right,sad
I feel completely defeated,sad
This is really painful,sad
I'm very broken,sad
Everything feels absolutely dark,sad
I feel incredibly lost,sad
This makes me extremely weep,sad
I'm totally grief-stricken,sad
Today brings so sadness,sad
I feel really hollow,sad
This is incredibly crushing,sad
I'm absolutely melancholy,sad
Life is extremely meaningless,sad
I feel very despondent,sad
I am furious about this situation,angry
This makes me so mad,angry
I'm really annoyed and frustrated,angry
I can't believe this happened,angry
This is absolutely infuriating,angry
I'm boiling with rage,angry
This is completely unacceptable,angry
I'm fed up with this nonsense,angry
My blood is boiling,angry
I'm seeing red right now,angry
This makes me want to scream,angry
I'm livid about this injustice,angry
I can't contain my anger,angry
This is driving me crazy,angry
I'm outraged by this behavior,angry
I feel like exploding,angry
This is beyond frustrating,angry
I'm steaming with anger,angry
I'm absolutely incensed,angry
This pushes all my buttons,angry
I am extremely angry about this,angry
This makes me incredibly furious,angry
I feel totally mad,angry
This is absolutely infuriating,angry
I'm completely outraged,angry
This situation is utterly annoying,angry
I feel really frustrated,angry
This makes me very livid,angry
I'm quite incensed,angry
This is extremely unacceptable,angry
I feel so irritated,angry
This brings me incredible rage,angry
I'm absolutely fed up,angry
Nothing is totally fair,angry
I feel completely enraged,angry
This is really ridiculous,angry
I'm very steaming,angry
Everything is absolutely wrong,angry
I feel incredibly hostile,angry
This makes me extremely boil,angry
I'm totally indignant,angry
Today brings so anger,angry
I feel really aggressive,angry
This is incredibly maddening,angry
I'm absolutely resentful,angry
Life is extremely unfair,angry
I feel very wrathful,angry
I'm scared about what might happen,fearful
This situation terrifies me,fearful
I'm worried and anxious,fearful
I feel nervous and afraid,fearful
This makes me feel unsafe,fearful
I'm trembling with fear,fearful
My heart is racing with anxiety,fearful
I'm paralyzed by terror,fearful
This gives me nightmares,fearful
I'm shaking with fright,fearful
I feel vulnerable and exposed,fearful
This fills me with dread,fearful
I'm panicking about the outcome,fearful
I can't shake this fear,fearful
I'm consumed by worry,fearful
This makes me feel helpless,fearful
I'm afraid of what's coming,fearful
I feel threatened and insecure,fearful
My anxiety is through the roof,fearful
I'm overwhelmed with panic,fearful
I am extremely scared about this,fearful
This makes me incredibly afraid,fearful
I feel totally anxious,fearful
This is absolutely terrifying,fearful
I'm completely worried,fearful
This situation is utterly frightening,fearful
I feel really nervous,fearful
This makes me very panic,fearful
I'm quite petrified,fearful
This is extremely alarming,fearful
I feel so threatened,fearful
This brings me incredible dread,fearful
I'm absolutely apprehensive,fearful
Nothing feels totally safe,fearful
I feel completely vulnerable,fearful
This is really disturbing,fearful
I'm very trembling,fearful
Everything seems absolutely dangerous,fearful
I feel incredibly insecure,fearful
This makes me extremely shudder,fearful
I'm totally horrified,fearful
Today brings so fear,fearful
I feel really uneasy,fearful
This is incredibly spine-chilling,fearful
I'm absolutely paranoid,fearful
Life feels extremely unsafe,fearful
I feel very terrorized,fearful
I'm so excited about this opportunity,excited
This is going to be amazing,excited
I can't wait for what's coming,excited
I'm thrilled about the possibilities,excited
This fills me with anticipation,excited
I'm buzzing with excitement,excited
My energy levels are sky high,excited
I can barely contain my enthusiasm,excited
This makes my heart race with joy,excited
I'm pumped up and ready,excited
I feel electrified by this news,excited
This gives me such a rush,excited
I'm jumping with excitement,excited
I feel so alive and energized,excited
This is incredibly thrilling,excited
I'm on cloud nine,excited
My excitement is contagious,excited
I feel like I'm flying,excited
This makes me want to celebrate,excited
I'm bursting with enthusiasm,excited
I am extremely excited about this,excited
This makes me incredibly thrilled,excited
I feel totally enthusiastic,excited
This is absolutely amazing,excited
I'm completely pumped,excited
This situation is utterly exhilarating,excited
I feel really energized,excited
This makes me very buzz,excited
I'm quite electrified,excited
This is extremely fantastic,excited
I feel so animated,excited
This brings me incredible anticipation,excited
I'm absolutely eager,excited
Everything feels totally possible,excited
I feel completely invigorated,excited
This is really stimulating,excited
I'm very charged up,excited
